listing_id,City,n_chars,n_reviews_concatenated
1014832992378572116,Los Angeles,1539,4
1014884901156790478,Hawaii,6949,19
1014887937936668124,Hawaii,1849,11
1014948777781967894,Hawaii,1826,6
10149773,Los Angeles,1178,6
1014997001475633280,Los Angeles,702,4
1015002160842082678,Nashville,5195,29
1015027813525407338,New York,365,2
1015116350854900637,Los Angeles,24377,89
1015168578871804091,New York,497,4
1015197217372751785,Los Angeles,1204,6
1015206706300096540,Hawaii,1073,2
1015227043569047299,Nashville,1247,4
1015227323912103462,Hawaii,25322,79
1015266155533143650,Hawaii,119,1
1015266456691997393,Los Angeles,18216,72
1015267226890567092,Hawaii,849,5
1015268541842667651,Hawaii,1326,4
1015269680098038062,Hawaii,128,1
1015279090143091894,Hawaii,162,1
1015283065357908809,Hawaii,222,1
1015299196429549396,Los Angeles,1337,7
1015301777429568400,Los Angeles,5884,23
1015305791177563785,Los Angeles,706,3
1015310454504317040,Los Angeles,27216,145
1015315110628837715,Hawaii,22802,94
1015327002482089024,San Francisco,5957,28
1015328686163389582,Los Angeles,13935,65
1015357234838303151,New York,12614,72
1015367759852446542,Los Angeles,14744,52
1015368198275741296,Los Angeles,10546,50
1015370806431639709,Hawaii,2913,4
10153794,Los Angeles,11577,57
1015390252345027742,New York,25185,75
1015415645360157420,Los Angeles,10391,37
10154208,Hawaii,7167,10
1015457088134161242,Los Angeles,360,2
1015462270399532835,Hawaii,9044,37
1015462611967644609,Los Angeles,6438,33
1015496561428131132,New York,20656,65
10155003,New York,12861,61
1015529768711862760,Nashville,3917,18
1015533317050744241,Los Angeles,4078,15
1015589783500030663,Hawaii,29565,128
1015609701229885505,Los Angeles,237,1
10156716,Los Angeles,2018,10
10158294,Hawaii,74777,296
10158447,Hawaii,44938,194
1015855156772255700,Los Angeles,3087,10
1015857456530202256,Los Angeles,673,2
1015858565969239450,New York,14530,59
1015896283278632510,Hawaii,17035,60
1015902074913097307,Hawaii,1795,8
1015967416953624364,Los Angeles,3011,12
1015970686425606982,Nashville,13267,46
1015998312494595281,Hawaii,1394,6
1016004482042560235,New York,52,1
10160215,New York,9489,36
1016031422800019304,Nashville,13053,43
1016049619313605386,Los Angeles,943,4
1016056072007868305,Hawaii,4210,10
1016062872267819040,New York,2933,13
1016071256983945832,Hawaii,321,1
1016075868941816533,Los Angeles,1213,4
1016079805908812272,Hawaii,13910,41
1016090273517968559,Los Angeles,625,2
1016118967976064081,Los Angeles,14354,63
1016124375833661253,New York,15833,60
1016138175821079929,Hawaii,2482,7
1016151137833274828,New York,696,1
1016155985925140334,New York,195,1
1016162375847650029,Hawaii,5984,16
1016164672026561489,New York,3948,7
1016173931705014528,Los Angeles,393,3
1016268870420191920,New York,9496,34
1016295447412845534,New York,13024,61
1016342927874691553,San Francisco,13916,69
10163485,Nashville,128767,730
1016380845718849789,San Francisco,7508,42
1016386284940585293,San Francisco,7662,41
1016481253780096369,San Francisco,1446,3
10165064,New York,123972,413
1016509465096619387,San Francisco,70,1
10165181,New York,12947,46
10165313,New York,2824,15
10165663,New York,86147,295
1016583053434455472,Hawaii,1297,2
1016585125756842578,New York,174,2
1016587198315062220,Los Angeles,560,3
1016589402658018101,Hawaii,1327,4
1016591356152250905,Nashville,24996,77
1016594690428358873,Hawaii,288,2
1016597921030389515,Hawaii,847,2
1016599683702806669,New York,804,2
1016604189877216364,Hawaii,1551,3
1016610726299856828,Los Angeles,4323,17
1016618958526024089,New York,14590,53
1016625868238346837,Hawaii,668,1
1016626976931608633,Hawaii,413,3
1016628486249881551,Hawaii,1885,9
1016629092551342263,Hawaii,5167,20
1016629612993248231,Hawaii,2356,14
1016630344376502329,Hawaii,2359,5
1016637356063563355,San Francisco,16325,52
1016695631358136758,Los Angeles,4278,14
1016697183009124968,San Francisco,222,1
1016701630856983017,Hawaii,10236,30
1016707139766409388,New York,9670,31
1016769566737068530,Hawaii,2347,9
1016769597527869666,Hawaii,8521,22
1016779851350150561,Los Angeles,17253,89
1016806113955557260,San Francisco,7563,31
1016807932661905823,Los Angeles,12474,47
1016808765040974343,San Francisco,698,1
1016825148595065353,New York,753,3
1016842956012927216,San Francisco,182,1
1016858650638508129,New York,2758,7
1016873360054235983,San Francisco,695,2
1016896771614431886,Los Angeles,7060,37
